日期,周次,母题,栏目,平台,形态,核心关键词,真实素材,AIGC素材,CTA,发布时间,24小时复盘,72小时复盘,状态
2026-08-10,第2周,从一个情人节到30年后的同一天,威熏夜话,抖音,45秒时间故事,2月14日,日期酒标瓶身包装,时间流逝动画,评论30年,20:30,2026-08-11,2026-08-13,待制作
2026-08-11,第2周,两个2月14日如何写进一张酒标,261311桶案,小红书,6页时间档案,2月14日,酒标日期与桶号,日历翻页版式,收藏时间线,12:30,2026-08-12,2026-08-14,待制作
2026-08-11,第2周,30年一定比18年好吗,高龄酒判断课,抖音,40秒反常识,30年,产品与风味卡,年份对比示意,评论年份或风味,20:30,2026-08-12,2026-08-14,待制作
2026-08-12,第2周,从一个情人节到30年后的同一天,威熏夜话,视频号,65秒纪念日叙事,情人节,日期酒标瓶身,克制纪念日场景,转发给重要的人,20:00,2026-08-13,2026-08-15,待制作
2026-08-13,第2周,年份告诉你什么又不告诉你什么,高龄酒判断课,小红书,6页购买判断,30年,酒标和品鉴记录,判断表,收藏判断清单,12:30,2026-08-14,2026-08-16,待制作
2026-08-13,第2周,情人节这瓶酒你会何时开,184瓶之后,抖音,30秒二选一,情人节,未开封酒瓶和两只杯,AIGC纪念日晚餐,评论现在开或重要日子开,20:30,2026-08-14,2026-08-16,待制作
2026-08-14,第2周,30年不等于自动更好喝,高龄酒判断课,视频号,70秒完整观点,亚伯乐30年,产品和风味记录,年份风味关系图,转发给看年份买酒的人,20:00,2026-08-15,2026-08-17,待制作
2026-08-15,第2周,情人节礼物为什么有人愿意等30年,威熏夜话,抖音,35秒情绪短片,情人节,包装酒瓶日期特写,AIGC抽象等待场景,关注纪念日系列,20:30,2026-08-16,2026-08-18,待制作
2026-08-16,第2周,结婚30周年怎样选一瓶有日期的酒,威熏夜话,小红书,5页周年选酒清单,30年,包装与日期特写,礼赠清单版式,私信年份与场景,12:30,2026-08-17,2026-08-19,待制作
2026-08-16,第2周,结婚30周年礼物如何讲时间,威熏夜话,视频号,75秒关系叙事,2月14日,包装酒瓶日期,克制礼赠场景,朋友圈转发,20:00,2026-08-17,2026-08-19,待制作
2026-08-17,第3周,亚伯乐30年为什么是7888元,7888元拆解,抖音,50秒五变量,亚伯乐30年,酒瓶酒标包装,五变量信息图,评论贵在哪,20:30,2026-08-18,2026-08-20,待制作
2026-08-18,第3周,7888元先看哪5个变量,7888元拆解,小红书,8页价格判断,7888元,产品实拍与日期桶号,判断清单,收藏价格清单,12:30,2026-08-19,2026-08-21,待制作
2026-08-18,第3周,谁适合买亚伯乐30年,7888元拆解,抖音,45秒适配自测,亚伯乐30年,产品与风味参照,三类人卡片,评论常喝酒款,20:30,2026-08-19,2026-08-21,待制作
2026-08-19,第3周,7888元贵不贵如何判断,7888元拆解,视频号,80秒完整价值解释,7888元,酒标包装文件局部,价值变量图,私信用途,20:00,2026-08-20,2026-08-22,待制作
2026-08-20,第3周,184瓶和当前库存不是一回事,184瓶之后,小红书,5页稀缺边界,184瓶,酒标与总瓶数记录,库存边界示意,收藏单桶三问,12:30,2026-08-21,2026-08-23,待制作
2026-08-20,第3周,不是所有酒友都适合这支酒,7888元拆解,抖音,40秒适合不适合,51%,产品实拍与食物参照,适配卡片,评论口味偏好,20:30,2026-08-21,2026-08-23,待制作
2026-08-21,第3周,谁适合买谁先别买,7888元拆解,视频号,70秒购买建议,亚伯乐30年,产品和风味记录,人群场景卡,私信自饮或礼赠,20:00,2026-08-22,2026-08-24,待制作
2026-08-22,第3周,184瓶你会开还是留,184瓶之后,抖音,30秒争议投票,184瓶,未开封酒瓶和杯子,AIGC两种场景,评论开或留,20:30,2026-08-23,2026-08-25,待制作
2026-08-23,第3周,高价酒值不值先回答3个问题,7888元拆解,小红书,6页自测表,7888元,酒瓶包装风味卡,自测表版式,收藏并私信用途,12:30,2026-08-24,2026-08-26,待制作
2026-08-23,第3周,184瓶该怎么理解,184瓶之后,视频号,65秒稀缺解释,184瓶,桶号酒标文件局部,装瓶数量示意,转发给单桶新手,20:00,2026-08-24,2026-08-26,待制作
2026-08-24,第4周,黑樱桃无花果黑可可怎么理解,一口风味翻译,抖音,40秒三种味道,30年,酒液和三种食物,风味连线动画,评论最熟悉的味道,20:30,2026-08-25,2026-08-27,待制作
2026-08-25,第4周,亚伯乐30年风味地图,一口风味翻译,小红书,6页风味地图,亚伯乐30年,酒液和食物参照,编辑风味地图,收藏品鉴词,12:30,2026-08-26,2026-08-28,待制作
2026-08-25,第4周,51%第一口怎么喝,一口风味翻译,抖音,35秒三步品鉴,51%,倒酒闻香滴水实拍,步骤字幕,评论常喝度数,20:30,2026-08-26,2026-08-28,待制作
2026-08-26,第4周,把品鉴词翻译成熟悉味道,一口风味翻译,视频号,75秒慢品故事,30年,酒液与食物参照,轻微风味动效,转发给品鉴新手,20:00,2026-08-27,2026-08-29,待制作
2026-08-27,第4周,给51%加几滴水会怎样,一口风味翻译,小红书,5页滴水实验卡,51%,同款杯滴管酒液,实验记录版式,收藏实验步骤,12:30,2026-08-28,2026-08-30,待制作
2026-08-27,第4周,加水不是把酒喝淡,一口风味翻译,抖音,45秒前后对比,51%,真实滴水与品鉴记录,前后风味动效,评论纯饮或加水,20:30,2026-08-28,2026-08-30,待制作
2026-08-28,第4周,51%如何慢慢打开风味,一口风味翻译,视频号,80秒完整品鉴,51%,倒酒闻香滴水实拍,步骤提示图,私信品鉴会意向,20:00,2026-08-29,2026-08-31,待制作
2026-08-29,第4周,这支酒适合什么样的线下品鉴,品鉴现场,抖音,35秒意向征集,亚伯乐30年,产品包装和场地候选实拍,座位与流程示意,评论城市,20:30,2026-08-30,2026-09-01,待制作
2026-08-30,第4周,一场12人高年份品鉴会想看什么,品鉴现场,小红书,4页意向问卷,30年,酒瓶包装和真实场地候选,流程卡片,评论城市和问题,12:30,2026-08-31,2026-09-02,待制作
2026-08-30,第4周,从30年故事到第一次真实品鉴,品鉴现场,视频号,75秒活动意向片,2月14日,产品与场地候选实拍,时间线与流程动画,私信品鉴意向,20:00,2026-08-31,2026-09-02,待制作
